Time	Amplitude
1.307	-0.0259153
1.308	-0.174093
1.309	0.0610835
1.31	0.129498
1.311	-0.0895609
1.312	-0.106007
1.313	-0.0441702
1.314	0.0117458
1.315	0.17752
1.316	-0.0224617
1.317	-0.181987
1.318	0.0313164
1.319	0.176369
1.32	-0.0890675
1.321	-0.119821
1.322	-0.00848265
1.323	0.0362502
1.324	0.0924951
1.325	-0.00585131
1.326	-0.165705
1.327	0.0380592
1.328	0.220938
1.329	-0.0571625
1.33	-0.143832
1.331	0.0439798
1.332	0.0798318
1.333	0.0656883
1.334	-0.0158833
1.335	-0.130018
1.336	0.0286851
1.337	0.232943
1.338	-0.00420672
1.339	-0.167679
1.34	0.0482557
1.341	0.0839433
1.342	0.0161862
1.343	-0.0408811
1.344	-0.108474
1.345	-0.0140743
1.346	0.225707
1.347	-0.00321997
1.348	-0.202051
1.349	0.00582528
1.35	0.118315
1.351	-0.0288756
1.352	-0.0759108
1.353	-0.0667011
1.354	-0.00535793
1.355	0.166173
1.356	0.0326321
1.357	-0.205011
1.358	0.010759
1.359	0.161568
1.36	-0.033316
1.361	-0.110941
1.362	-0.0204882
1.363	0.0272049
1.364	0.143971
1.365	0.0336188
1.366	-0.170804
1.367	0.0133904
1.368	0.199722
1.369	0.0244091
1.37	-0.128044
1.371	0.0112524
1.372	0.036908
1.373	0.0998958
1.374	0.0186531
1.375	-0.165541
1.376	-0.0275599
1.377	0.213372
1.378	0.0252314
1.379	-0.171461
1.38	-0.00519347
1.381	0.063057
1.382	0.0331255
1.383	-0.00585131
1.384	-0.126235
1.385	-0.0354539
1.386	0.169462
1.387	0.0393749
1.388	-0.209287
1.389	-0.00700252
1.39	0.08493
1.391	0.00862108
1.392	-0.0288756
1.393	-0.0701548
1.394	-0.0214749
1.395	0.163377
1.396	0.0739113
1.397	-0.201064
