Time - Dev1/ai10	Amplitude - Dev1/ai10
0.1096	0.266822
0.1097	0.254158
0.1098	0.241002
0.1099	0.228174
0.11	0.215346
0.1101	0.201531
0.1102	0.188868
0.1103	0.175876
0.1104	0.162226
0.1105	0.148247
0.1106	0.135583
0.1107	0.121111
0.1108	0.10779
0.1109	0.0944686
0.111	0.0804896
0.1111	0.0668395
0.1112	0.0533539
0.1113	0.0393749
0.1114	0.0260537
0.1115	0.0125681
0.1116	-0.00124646
0.1117	-0.0153899
0.1118	-0.0283822
0.1119	-0.0423612
0.112	-0.0566691
0.1121	-0.0699903
0.1122	-0.0829826
0.1123	-0.0974549
0.1124	-0.110776
0.1125	-0.124097
0.1126	-0.138405
0.1127	-0.151562
0.1128	-0.164719
0.1129	-0.178533
0.113	-0.191525
0.1131	-0.204682
0.1132	-0.218168
0.1133	-0.230831
0.1134	-0.243659
0.1135	-0.256816
0.1136	-0.269808
0.1137	-0.282142
0.1138	-0.295957
0.1139	-0.308456
0.114	-0.32079
0.1141	-0.333782
0.1142	-0.34661
0.1143	-0.358616
0.1144	-0.371279
0.1145	-0.384271
0.1146	-0.396277
0.1147	-0.409105
0.1148	-0.421604
0.1149	-0.433938
0.115	-0.446272
0.1151	-0.459429
0.1152	-0.471106
0.1153	-0.482947
0.1154	-0.495939
0.1155	-0.50778
0.1156	-0.518634
0.1157	-0.530969
0.1158	-0.542481
0.1159	-0.553829
0.116	-0.565505
0.1161	-0.576688
0.1162	-0.587543
0.1163	-0.599219
0.1164	-0.610238
0.1165	-0.620928
0.1166	-0.631947
0.1167	-0.643459
0.1168	-0.653491
0.1169	-0.665167
0.117	-0.675693
0.1171	-0.685889
0.1172	-0.696415
0.1173	-0.707269
0.1174	-0.716643
0.1175	-0.72684
0.1176	-0.737529
0.1177	-0.746575
0.1178	-0.755949
0.1179	-0.765981
0.118	-0.774862
0.1181	-0.784071
0.1182	-0.793281
0.1183	-0.802162
0.1184	-0.810549
0.1185	-0.819594
0.1186	-0.828311
0.1187	-0.835876
0.1188	-0.844428
0.1189	-0.852651
0.119	-0.859887
0.1191	-0.86811
0.1192	-0.875675
0.1193	-0.882911
0.1194	-0.89097
0.1195	-0.898206
0.1196	-0.904949
0.1197	-0.911527
0.1198	-0.918928
0.1199	-0.925013
0.12	-0.930933
0.1201	-0.938334
0.1202	-0.943926
0.1203	-0.949517
0.1204	-0.956096
0.1205	-0.961687
0.1206	-0.966456
0.1207	-0.972706
0.1208	-0.977969
0.1209	-0.982738
0.121	-0.988001
0.1211	-0.993099
0.1212	-0.997375
0.1213	-1.00247
0.1214	-1.00675
0.1215	-1.01004
0.1216	-1.01547
0.1217	-1.01908
0.1218	-1.02254
0.1219	-1.02632
0.122	-1.03043
0.1221	-1.03323
0.1222	-1.03635
0.1223	-1.03964
0.1224	-1.04211
0.1225	-1.04441
0.1226	-1.04803
0.1227	-1.05033
0.1228	-1.05214
0.1229	-1.0551
0.123	-1.05724
0.1231	-1.05855
0.1232	-1.06118
0.1233	-1.06299
0.1234	-1.06415
0.1235	-1.06612
0.1236	-1.0676
0.1237	-1.06891
0.1238	-1.07056
0.1239	-1.07237
0.124	-1.07303
0.1241	-1.07335
0.1242	-1.0722
0.1243	-1.07007
0.1244	-1.06941
0.1245	-1.06743
0.1246	-1.06546
0.1247	-1.06349
0.1248	-1.06234
0.1249	-1.06036
0.125	-1.05806
0.1251	-1.05707
0.1252	-1.05428
0.1253	-1.05148
0.1254	-1.05
0.1255	-1.04688
0.1256	-1.04441
0.1257	-1.04161
0.1258	-1.03915
0.1259	-1.03536
0.126	-1.03306
0.1261	-1.02944
0.1262	-1.02533
0.1263	-1.02188
0.1264	-1.01793
0.1265	-1.01349
0.1266	-1.01004
0.1267	-1.0056
0.1268	-1.00066
0.1269	-0.996552
0.127	-0.991619
0.1271	-0.986192
0.1272	-0.981258
0.1273	-0.976324
0.1274	-0.970732
0.1275	-0.965141
0.1276	-0.959878
0.1277	-0.953629
0.1278	-0.947873
0.1279	-0.942281
0.128	-0.936031
0.1281	-0.92896
0.1282	-0.922875
0.1283	-0.916296
0.1284	-0.908896
0.1285	-0.902646
0.1286	-0.895575
0.1287	-0.887681
0.1288	-0.880609
0.1289	-0.873208
0.129	-0.864656
0.1291	-0.857256
0.1292	-0.849855
0.1293	-0.840974
0.1294	-0.832751
0.1295	-0.824693
0.1296	-0.815812
0.1297	-0.807096
0.1298	-0.798708
0.1299	-0.789498
0.13	-0.780289
0.1301	-0.771572
0.1302	-0.761705
0.1303	-0.752331
0.1304	-0.743285
0.1305	-0.733747
0.1306	-0.723221
0.1307	-0.713683
0.1308	-0.703322
0.1309	-0.692468
0.131	-0.682107
0.1311	-0.671417
0.1312	-0.660563
0.1313	-0.649708
0.1314	-0.638854
0.1315	-0.627506
0.1316	-0.616981
0.1317	-0.605962
0.1318	-0.593957
0.1319	-0.583596
0.132	-0.572084
0.1321	-0.560571
0.1322	-0.549059
