Frequency	Amplitude
244.6	2.81E-08
244.8	3.04E-08
245	4.19E-08
245.2	4.73E-08
245.4	5.95E-08
245.6	5.94E-08
245.8	6.66E-08
246	1.00E-07
246.2	1.45E-07
246.4	1.50E-07
246.6	1.02E-07
246.8	5.32E-08
247	1.84E-08
247.2	4.02E-09
247.4	1.19E-09
247.6	3.80E-09
247.8	8.38E-09
248	1.44E-08
248.2	1.54E-08
248.4	1.26E-08
248.6	6.29E-09
248.8	6.08E-09
249	1.99E-09
249.2	8.25E-10
249.4	1.92E-10
249.6	4.38E-10
249.8	9.72E-10
250	1.72E-09
250.2	1.98E-09
250.4	3.90E-09
250.6	3.69E-09
250.8	4.96E-09
251	5.71E-09
251.2	1.12E-08
251.4	1.63E-08
251.6	3.03E-08
251.8	5.18E-08
252	6.47E-08
252.2	6.22E-08
252.4	8.52E-08
252.6	1.09E-07
252.8	9.61E-08
253	4.13E-08
253.2	8.63E-09
253.4	3.71E-09
253.6	3.12E-09
253.8	3.89E-09
254	4.10E-09
254.2	3.72E-09
254.4	3.60E-09
254.6	2.00E-09
254.8	1.83E-09
255	8.89E-10
255.2	8.41E-11
255.4	2.78E-10
255.6	2.93E-09
255.8	4.19E-09
256	5.10E-09
256.2	6.85E-09
256.4	9.13E-09
256.6	4.42E-09
256.8	4.34E-09
257	7.86E-09
257.2	1.04E-08
257.4	1.48E-08
257.6	1.69E-08
257.8	9.35E-08
258	5.26E-07
258.2	8.30E-07
258.4	5.43E-07
258.6	3.02E-07
258.8	1.89E-07
259	1.27E-07
259.2	1.27E-07
259.4	1.08E-07
259.6	6.58E-08
259.8	3.70E-08
260	2.10E-08
260.2	1.29E-08
260.4	7.92E-09
260.6	4.51E-09
260.8	5.51E-09
261	4.86E-09
261.2	4.21E-09
261.4	4.45E-09
261.6	3.91E-09
261.8	4.40E-09
262	5.04E-09
262.2	5.74E-09
262.4	5.70E-09
262.6	4.34E-09
262.8	4.45E-09
263	2.92E-09
