Time (s)	Measured Amplitude (V)
126.6	0.0160217
126.7	0.0160217
126.8	0.0165151
126.9	0.0161862
127	0.0161862
127.1	0.0160217
127.2	0.0161862
127.3	0.0160217
127.4	0.0161862
127.5	0.0161862
127.6	0.0160217
127.7	0.0161862
127.8	0.0160217
127.9	0.0160217
128	0.0160217
128.1	0.0160217
128.2	0.0160217
128.3	0.0163506
128.4	0.0156928
128.5	0.0160217
128.6	0.0160217
128.7	0.0161862
128.8	0.0160217
128.9	0.0158573
129	0.0160217
129.1	0.0160217
129.2	0.0161862
129.3	0.0158573
129.4	0.0160217
129.5	0.0160217
129.6	0.0158573
129.7	0.0161862
129.8	0.0161862
129.9	0.0158573
130	0.0161862
130.1	0.0160217
130.2	0.0160217
130.3	0.0160217
130.4	0.0161862
130.5	0.0161862
130.6	0.0160217
130.7	0.0160217
130.8	0.0160217
130.9	0.0161862
131	0.0160217
131.1	0.0158573
131.2	0.0158573
131.3	0.0160217
131.4	0.0158573
131.5	0.0160217
131.6	0.0158573
131.7	0.0158573
131.8	0.0160217
131.9	0.0160217
132	0.0158573
132.1	0.0160217
132.2	0.0153639
132.3	0.0160217
132.4	0.0161862
132.5	0.0160217
132.6	0.0160217
132.7	0.0158573
132.8	0.0158573
132.9	0.0158573
133	0.0158573
133.1	0.0156928
133.2	0.0158573
133.3	0.0158573
133.4	0.0158573
133.5	0.0158573
133.6	0.0158573
133.7	0.0158573
133.8	0.0156928
133.9	0.0156928
134	0.0158573
134.1	0.0160217
134.2	0.0160217
134.3	0.0158573
134.4	0.0156928
134.5	0.0158573
134.6	0.0158573
134.7	0.0158573
134.8	0.0158573
134.9	0.0158573
135	0.0160217
135.1	0.0158573
135.2	0.0156928
135.3	0.0160217
135.4	0.0161862
135.5	0.0158573
135.6	0.0158573
135.7	0.0160217
135.8	0.0158573
135.9	0.0156928
136	0.0160217
136.1	0.0158573
136.2	0.0160217
136.3	0.0158573
136.4	0.0158573
136.5	0.0158573
136.6	0.0160217
136.7	0.0161862
136.8	0.0160217
136.9	0.0160217
137	0.0160217
137.1	0.0160217
137.2	0.0161862
137.3	0.0161862
137.4	0.0160217
137.5	0.0156928
137.6	0.0160217
137.7	0.0161862
137.8	0.0161862
137.9	0.0160217
138	0.0161862
138.1	0.0158573
138.2	0.0161862
138.3	0.0160217
138.4	0.0161862
138.5	0.0160217
138.6	0.0161862
138.7	0.0160217
138.8	0.0158573
138.9	0.0160217
139	0.0161862
139.1	0.0158573
139.2	0.0160217
139.3	0.0160217
139.4	0.0161862
139.5	0.0160217
139.6	0.0161862
139.7	0.0160217
139.8	0.0160217
139.9	0.0163506
140	0.0158573
140.1	0.0160217
140.2	0.0161862
140.3	0.0160217
140.4	0.0161862
140.5	0.0161862
140.6	0.0161862
140.7	0.0161862
140.8	0.0160217
140.9	0.0161862
141	0.0163506
141.1	0.0158573
141.2	0.0161862
141.3	0.0163506
141.4	0.0151994
141.5	0.0158573
141.6	0.0160217
141.7	0.0161862
141.8	0.0161862
141.9	0.0163506
142	0.0160217
142.1	0.0160217
142.2	0.0160217
142.3	0.0160217
142.4	0.0161862
142.5	0.0160217
142.6	0.0160217
142.7	0.0161862
142.8	0.0161862
142.9	0.0161862
143	0.0160217
143.1	0.0160217
143.2	0.0161862
143.3	0.0161862
143.4	0.0160217
143.5	0.0160217
143.6	0.0161862
143.7	0.0161862
143.8	0.0166796
143.9	0.0160217
144	0.0161862
144.1	0.0161862
144.2	0.0161862
144.3	0.0161862
144.4	0.0158573
144.5	0.0158573
144.6	0.0161862
144.7	0.0163506
144.8	0.0160217
144.9	0.0163506
145	0.0161862
145.1	0.0161862
